Excitatory	Astrocytes	Inhibitory	Oligodendrocytes	Microglia	OPC	L5-6-CC	L2-3	AST-PP	IN-SST	IN-VIP	IN-PV	L4	AST-FB	IN-SV2C	L5-6
scvi_1	-0.580069897953724	-0.832675443000027	-0.564667876726106	-0.173001177516967	-2.06593403874689	0.479243833633937	-0.763786028616312	0.0449437447952934	-0.875499108813693	0.49712777999895	-1.20279350380712	-1.10229934737866	-2.15255700933594	0.00266411611850644	-1.49126560352743	-0.88154022660801
scvi_2	0.277468426921109	-1.31473732083372	-0.742378455871893	0.681293389632539	0.509801440271743	-1.82173043735547	-0.106285584863366	0.133615154469293	-1.35275665913597	-0.680447442795682	-0.988226198662124	-0.00351849368971769	1.16491790709994	-0.573113345119747	-1.98591808295912	-0.91245440235835
scvi_3	0.432176850908634	0.81141287336275	0.578885161723573	-0.737662300664015	1.26915621368421	0.166198169948249	-1.37158251535602	0.819067051772166	0.757153319852171	1.3156865924313	0.0602091912315451	0.543613388112306	-0.217834137663057	1.86982650158209	-0.674282203449143	-0.0332089723166773
scvi_4	0.651412284311917	0.592100077951813	-0.488553860253025	0.388297975988144	1.67669162708852	0.224834902585023	0.478147710241923	0.806609769800195	0.625888441014279	-1.4812256975401	1.25458486964588	-1.88899980835106	0.84289759095711	-0.066992406721239	-0.255808756748835	-0.937538027763367
scvi_5	0.883338131288747	-1.55236838501854	-1.05583725612886	0.358928105927318	1.76364999785502	0.521273193539636	1.03262911010079	1.18919765925966	-1.58279013895722	0.229842627665826	-2.00384751514288	-1.6546614158912	-0.397771360234746	-0.958946639357449	-1.34579747579992	2.02271980097738
scvi_6	-2.16250433054453	0.203048520084295	-1.52345752416765	0.247373444436902	1.6441917188983	1.1606619168967	-1.77635954974628	-2.3283098665135	0.234330235780793	-1.76266982404959	-2.18221250445499	0.0452246536847056	-1.94827093792301	-0.407148064021424	-1.22682245050867	-1.65634928820497
scvi_7	-0.502391028083733	1.38315051825509	-2.07184778383022	-0.0902391928020515	0.206176578708821	-1.66134009427808	1.20173407909347	-0.654497666525896	1.40086013200386	-2.01995949501083	-2.5920326112531	-1.47592921431314	-0.507585626708556	1.03769805266228	-1.26381029287974	0.0331386277231119
scvi_8	-2.08655535749663	0.544424140628868	-1.12885418009575	1.14770623236579	-0.393172620681839	0.0343386190278189	-3.07415035585078	-1.43098296483772	0.520683184127198	-0.990068671462082	-0.805678518702869	-1.60486159524763	-3.24244512730761	1.00752695446665	-2.3029245969322	-3.44809760380599
scvi_9	-0.16208440470464	0.676930369695632	0.421690644003262	-0.55669373002569	1.80229724885689	0.793052428793509	-0.403086775686683	0.316340585549672	0.652323147560616	0.608504913080306	0.183547330908733	0.441583252555627	-1.73897081953061	1.15693098848516	0.618871468305588	0.641458075935558
scvi_10	1.21275558896346	0.950185103509052	-1.07216287894713	-0.47997992905206	-0.967739078899225	1.25136341348652	1.58503895416492	1.72877122358316	0.958830824043293	-1.30625135819117	-0.637906912557042	-0.706202578673724	0.601798730749118	0.781537412048934	-3.2913625061512	-1.05875931856996
ACO1	0	0.0515328048819004	0	0	0	-0.0879027949003502	0.0526843304008197	-0.0996655307938592	0	0	0	0	0.0722336566318352	0.166783845203883	0	0
AKAP1	0	0.055344033448452	0.0686550239931006	0	0.0612387665040208	0	-0.0726394961853039	-0.0503957054989837	0	0	0	0.147688637213794	0.0559649864386968	0.155212350165181	0	0
AKAP17A	0	0	0	0	0.161915126320585	0	0.11232973403392	0.0688771623671273	0	0.0678796792613189	0	0.061308450920547	0.0932800552504858	0.0630820718288318	0	0.0583562487575229
ALKBH8	0	-0.0809773850738148	-0.057665046846006	0	-0.0991741001163665	-0.0721143487781932	0	-0.0971431758453284	-0.087284334771762	-0.0592520247133956	-0.0884863614959487	-0.133256838158725	-0.0564365759211066	0	-0.0660457702492046	-0.127831151190824
ANKHD1	0	0.0636523682711327	-0.0641976327873286	0	0	0.063748799203887	0.135349240780397	-0.186519476817213	0.0752394857577161	-0.268015509973218	-0.0563049965098124	-0.0656857099253754	0	0.243321565715988	0	0
ANKRD17	0	0	0	0	0.112725017718231	0.0742609400350029	0.0852588414015187	-0.0959829017532918	0.0893330981128404	0	-0.1206660196294	0	0	0.245494623903458	-0.101435938173564	0.173823406148327
APLF	0	-0.192205422366684	0	-0.17848662477686	0	-0.127480594384451	-0.0530669576600259	-0.096435979449262	-0.199546323017522	0	0	0	0	-0.126469140678471	0	0
ASCC1	0	0	0	0	0.0814727462072173	0	-0.141318251762693	-0.167210624105242	0	-0.0658080418980215	-0.104103663578817	-0.177671002953128	-0.0564862146321157	0.241417965582599	0	-0.1096737040612
BICC1	0	0.174580044845295	0	0	0	0	0.260626427204291	-0.270401247888282	0.0768607585142465	-0.37982705514585	0.0674995637979987	0	0.13124332723217	0.114206717166727	0	-0.264486510076395
CARHSP1	0	0	0	0.0529967228372764	0	0	0.0959520867404943	0.116714814325781	0	0	0.0597001932084976	0	0	0.18937965046065	0.119369434570326	0
CELF1	0	0	0	-0.0588118466322002	0	-0.0695020919169923	-0.330362062785801	-0.293325272561565	-0.0676165526353563	0	-0.103926603890182	-0.122621370806464	0	0	0	-0.149928848090452
CELF2	0	0.100557713133218	0	0	0	0	-0.120696126516067	-0.11697310576066	0.0610510857160285	0	-0.160825909652013	-0.140460361839982	-0.210508248372309	-0.164555758693256	-0.0636308103802898	0
CELF3	-0.0943207839575249	0	0	0	0	0	-0.364967157628448	0	0	0.100248830121916	0	0	-0.0666306459790705	0	0	0.115026631471968
CIRBP	-0.269733566635043	-0.213404682490338	-0.095920258145886	-0.0537735712548484	-0.0613746048175648	-0.153465336933491	-0.241600627676131	-0.176696951176014	-0.328344473673418	0.0700655530343346	0	0	-0.111660733829152	-0.87905503260601	0	-0.155292069030343
CNBP	0	0	0	0.0677299466176291	0.143285707491802	0.100930115496988	0	0.0644793091996296	0	0.127270431072072	0.0990747149006614	0.147625067540832	0.135270331871557	-0.0817261645672311	0.13292640443828	0.0849979606108612
CNOT4	0	0.0812546105092116	0	0	0	0.223005446458185	0	-0.0534061952468994	0.0552763095703106	0	0	0	0	0.298468293301922	-0.103777291617278	0.0632043233867949
CPEB1	0	0	0	0.154016703723123	0	0	-0.236792640081466	-0.0716737052545457	0	0	-0.107467572110517	-0.0838372376491685	-0.0823918107706521	0	0	-0.118597421633737
CPEB2	0	0.157608959627336	-0.0627071385286035	0.0904115011250881	0	-0.0784569132776629	-0.104083239837572	0	0.158354594913452	0.109849684473959	0	-0.093554011475268	0	-0.0522210906861054	-0.201354088646097	-0.202520385354969
CPEB3	0	0	0	0.225710675073912	-0.114708515412669	0.112039257341355	0.0662406474020336	-0.109267174205028	0	0.0851231828606713	0	-0.0609805261166967	-0.0595267460848612	-0.224158456557199	0	-0.146621268137837
CPEB4	-0.0971963975860137	0.262398112027189	0	0.284055385701843	0.721646439711428	0.124644760335573	-0.311778234650568	-0.102755535495505	0.18436500450976	0.0900142654838265	-0.0758783594938888	-0.0527562967852557	0	0.359508069061908	-0.201342958040871	0
CPSF4	0	0	0	0	0	0	0	0	0	0	0	0	0	0.161554676205411	-0.0553856919701824	0
CPSF6	0	0	0	0	0	0.162903118003634	0.209367900302936	0.11803293478439	0	0	0.152647262360914	0	0.141454598421772	-0.0553337723397545	0.0532618948402188	0
CPSF7	0	0	0	0	0	0	0	0	-0.058402811073384	0	0	0	0	0.24653540319053	0.0578487365558553	0.0748480858313849
CSDC2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSDE1	-0.186375346623864	0	-0.0724430704359783	0	0	0	-0.334030012973332	0	0	0	0	0	0	-0.108359882546212	0.0581212662904429	0.0583505421838719
CSTF2	0	0	0	0	0	0	0.0723258761348199	0	0	0.10987637890212	0.074479419062845	0.114916149827025	0	0	0	0
DAZAP1	0	0	0	0.173399951813371	0	0.0779995122794031	0	0	0	-0.0558148934630011	0.096227688829145	0	0.0585528089332291	-0.33731248413341	0.0893826614329739	0.0938232870665798
DDX41	0	0	0	0	0	0	0	0	0	0	0	0	0	0.101599445896771	0	0
DDX43	0	0	0	0	-0.133404046650106	0	0	0	0	0	0	0	0	0	0	0
DHX57	0	-0.0922615535017265	-0.0566857662948921	-0.0797119979597483	-0.0517715031292914	0	-0.0792312003878617	-0.168250627709255	-0.10008789856464	-0.0947689917404406	-0.119712202076491	-0.0665633505740886	-0.0981680931330372	-0.397556515070791	-0.070911095195979	0
DHX8	-0.0775598336163307	-0.0870969996448768	-0.107152684618322	-0.121613553748918	0	-0.0650002712318247	0.0992080477345087	-0.193580694235219	-0.0761332477298296	-0.226479155382541	-0.129524945529505	-0.119342963363748	-0.0636384796225021	-0.207627550010201	0	-0.0994840804436782
DNAJC17	0	0	0	0	0	0	0.0875164631869767	-0.0573726441992674	0	0	0	0	0	0.0778104812384525	0	-0.0518674646161275
DUS3L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EIF2S1	0	0	0	0	0.089894721300385	0	0	0	0	0.072822663282516	0.0737356398877616	0	0.0988374348505381	0.197414677154005	0.0671512650395041	0.108150233485404
EIF3B	0	0.110185033349878	0.0716560655195294	0.119997400544835	0.19072392255218	0.132073221148296	0.221653766147177	0	0.151874208683276	0.170168499885467	0.119424988073983	0.0636224506312758	0.129409584874795	0.120124366485426	0.0875675627433403	0.0968980086798811
EIF3G	0	0	0	0	0.120449395432313	0	0	0.0501155554935742	0	0	0.0679156833426158	0	0.0687109978785474	0	0.0517583565769926	0
EIF4B	-0.189950002480732	0	-0.0572570641173824	0	0	0	-0.253734125648076	-0.140306934399537	0	0	0	0.0573601397426711	-0.0656503844577165	-0.0516214233325432	0	0
EIF4H	-0.0917360372563924	0.0661275743773233	0	0	0.0661934190415956	0	-0.144715693612406	0.0814859080750122	0	0.159716213536695	0.0740397199290956	0.0611062807534507	0	0.201191806045102	0.119564622535037	0.105853941119398
ELAVL1	0	0	0.0506790466681937	0	0.10905796687599	0	0	0	0	0.0533283440714292	0.123411519871176	0.0718981733199713	0.0996580744962169	-0.146335496889389	0	0.0582577691953574
ELAVL2	0.204937919235299	0	0	0	0	0	0.0634042706521827	0.418404995748163	0	0.345863716851551	0	0	0.071902146282419	0	-0.0589356119137721	0.142665024505342
ELAVL3	0	0	0	-0.0572139439451755	0	0	-0.124609324455479	-0.25316381180975	0	-0.303142119883308	-0.17218413369307	-0.205881912238922	-0.0573883418380452	0	0.0993373250571836	-0.132951497281591
ELAVL4	0	0	0	0	-0.28817674702706	-0.132493653023794	-0.203941720272994	0.114447823796628	0	-0.0726933860285524	-0.106998393298199	-0.0743733122891512	-0.171467245508326	0	-0.123717913438658	0
ENOX1	-0.0942051906656389	-0.0934402604491908	0.107151293998053	-0.266449040681541	-0.079134251206013	0.114726332902316	-0.193112585796217	-0.444259034972462	-0.0638028352955993	0	-0.254045691873293	-0.0594095855666312	-0.402770404474812	-0.435598583401864	-0.184430626846765	-0.232038315552
ENOX2	0	-0.0943864619218993	-0.11629370281645	-0.366863168645893	-0.294147735115053	0	0	-0.0543693849069731	-0.0745153085016255	-0.113731969866285	-0.0554942285908005	-0.0892448582082184	-0.139898882128069	-0.190397543937446	-0.163609252713926	-0.0755196801623745
ESRP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EWSR1	0	0	0.0648302417299093	0.0589462079495878	0	0	0.190379408451774	0	0	0.159953942470219	0.0959719227426206	0.117148423896469	0.143946416519158	-0.205080833273033	0.112329725988071	0.169307564046028
FMR1	-0.116595167340947	0	-0.111704162503651	-0.100493423109718	0	-0.0863643599992053	-0.112362143756844	-0.0670991734962281	-0.0763424415446525	-0.132716122937232	-0.126532860036935	-0.0516815538219103	-0.097337093366979	-0.0967792479298152	-0.088195368426723	0
FUBP1	-0.0842607571622036	0	-0.0790141002576379	0.183673958671569	0.0775533707727514	0.150146476621095	0.0884195393537512	0	0	0	0	0	0.189903202171748	0.102031889674786	0	0.107825652205214
FUBP3	0.059484722571672	0.0756277476961345	0.0554812655951238	0	-0.109750316560188	0	0	-0.0728945856746531	0.0755970502152006	0	0	0	0	-0.0980129853347975	0	0
FUS	-0.213535901825931	-0.162182492171562	-0.100572520878786	0	0	0	-0.326381931812889	-0.198079301660854	-0.17662969997158	-0.0828951018532605	-0.0711982601814258	-0.0840787415682348	-0.163269250632373	0.0775182276820062	-0.120834706600289	-0.140548304456928
FXR1	0.0561517414785697	0.201722959476276	0.131132522922613	0.516216541550099	0.227160263826795	0.331157644855101	0.437441532027064	0.263808439203354	0.280511058608943	0.409969184424246	0.3103964543166	0.258775898105955	0.318406338876636	0.472198301034513	0.315145961314645	0.339860473836288
FXR2	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0993776402586293	0.0647833122868429	0.0708936640201481
G3BP1	0	0.0559977204938789	0	0.0707041562719894	0	0	0.126494326255231	0.0761246150007626	0.0661532067912469	0	0.062961400497684	0.0812906369676474	0.0841214609445595	0.319082721492349	0.0902704258517619	0.105762155799789
G3BP2	-0.203746538222062	0	0	0	0.0940380740740618	0.0632576534880397	0	-0.066789130776759	0	0.22109753475075	0	0.0755320026860911	-0.0758576390969983	0.100785411342123	0	0
GRSF1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.204606725825422	0.0808793432467388	0.0620372426730372
HDLBP	-0.0867563544267178	0	0	0.132456825188839	0	0.0807904541435228	0	-0.111077224253829	0	0	0	0.0683289721705012	0	0.175937096299857	0.0503495331122161	0
HELZ	0	0	0	0	0	0.243838024163653	0.285866360519472	-0.0649084475666915	0	0.0898388144064501	0	0	-0.0847361431832643	0.198078618098662	0.0540620678517243	0
HNRNPA0	-0.0938666115041906	0	0	0	0	0	0	0.104081543004236	0	0.0680987125366231	0.0698561359218474	0.102628323247488	0	0.0564782519740198	0	0.0861400904407336
HNRNPA1	-0.239592020715234	0	-0.0607860569544274	0.0746553661497509	-0.113097774559009	0	-0.109801458431936	-0.0518145076115727	0	0.113097421308173	0.0915634441946923	0	0	-0.112641627798482	0	0
HNRNPA2B1	-0.168878509952662	-0.0784689420568883	-0.0711285514245694	0	0	0.207579479877805	0.226237436647181	0	-0.0553954884094818	0.121652450243827	0.137403044910692	0.0851990906623119	0.290663047542885	-0.0780046952144	0.113829971790914	0.235222310753432
HNRNPA3	-0.235779988922839	0	-0.0872217328415483	0	-0.222469367853508	0	0.0630648919463418	-0.0760360330082616	0	0.0777753118959723	0	0	0	0	0	0
HNRNPAB	0	0	0	0	0	0	-0.056919205254928	0	0	0	0	0	0	0.073892751545384	0	0
HNRNPC	-0.154196191004822	0.101078775967546	-0.128467211543343	0	-0.0505999564790724	0	-0.136662086176844	-0.212647118090876	0.0949679080675585	0	-0.158821314273544	-0.11033617317677	-0.147214092694702	0.257577313192171	-0.118672878446525	-0.0885465042425955
HNRNPD	-0.117792130166468	0	0	0	0.125797317931335	0	0	0	0	0.122736129304979	0.0672521828360203	0.136106974016479	-0.0552358946654654	0	0.068531703922124	-0.103662200002247
HNRNPF	0	0.128938316581755	0.0525426755611895	0.077842222869658	0.0801998421405651	0.0618830577279338	0.168916963174504	0	0.104249162488254	0.0982888831415578	0.118160285659642	0.0949676100324729	0.111420612655764	0.155625354204206	0.0730588693459333	0
HNRNPH1	-0.0906073386089125	0	0	0.137378331080224	0.102845728685172	0.170084356855648	0	0	0	0	0.115827385962362	0.140606715979871	0.10622730070218	0.107007369917776	0	0.093129255555134
HNRNPH2	-0.0584616444358316	0	0	0	0.156688394179746	0	0	0	0	0.074406576111676	0.0613151162291867	0.0520172998073792	0	0.166945438021221	0	0.129495484095771
HNRNPH3	-0.0997974814563525	0.0656770948626426	0	0.101135098954271	0	0.0763249677550486	0.0897091086308733	0	0.124212549881441	0.12752752108019	0	0.0606022637280045	0	0.211455013152607	0.126889838626421	-0.0623686818616378
HNRNPL	-0.095587112881956	0	-0.0823045228852235	0	-0.0757744847541586	0	0.10765082866816	-0.0898202575068309	0	-0.21149439992097	0	-0.0995134219319269	0	-0.146266844227175	0.108434941294672	-0.113413541564854
HNRNPM	-0.115215582219084	0.0938989284231319	-0.0661944894417487	0	-0.0503637246015778	0.0654484478185016	0.1565269108546	-0.0866079172584591	0.0703099909088652	0	0	-0.054213539046251	0	0.219394113686009	0	0
HNRNPR	-0.113329846672153	0	-0.0616885769617794	-0.0580613734300677	0	0	0	0	0	0	0.0921636884345366	0	0.0901176912248912	0	0	0.0739417736464691
HTATSF1	-0.0721042291694253	0	0	0	-0.0591267742939632	0	0.0774705980530683	0	0	0.0564493890502734	0.0879328048701508	0	0	0.110757121604099	0.0725567018522096	0
IGF2BP2	0	0	0	0	0	0	0	0	0.0532468360169761	0	0	0	0	0	0	0
KHDRBS1	-0.0547688670944567	0.0961750934599017	0	0	0.192623849391174	0	0.0906688796630131	-0.0533720091225518	0.100072917022319	0	-0.0724622947321395	0	0	0.184792273143287	0	0
KHDRBS2	0.215910735799295	0.178605396663646	0.0712680583440553	0	0.248906727041935	-0.104037282204746	-0.606860875755026	0.0626287082835422	0	-0.160702220374064	-0.449350831817309	-0.197065019459402	-0.556910507755689	-0.137733971737315	-0.111306447266483	-0.50500456433114
KHDRBS3	0.0877408249089817	0.0957192130540451	0.0818871698186583	0	-0.698525484524163	0	-0.399056705249632	0	0	0.270661260181724	0	-0.064738645321115	-0.260226952019444	0	-0.262371275833801	-0.25171693487308
KHSRP	-0.0549943630894207	0	0	0	0	0	-0.0716454358791821	-0.0918875236255341	-0.0524991023730964	0	0	-0.0527904978307244	0	0.110940976846338	0	0
KRR1	0	-0.0516465862795432	0	0	0	0	0.237984647943149	0.159643859334845	0	0.0961829296120955	0.109481686863428	0.155811610480763	0.144925557454452	0	0.12021637900905	0.160574654331083
LARP1	-0.0784916607486488	0	-0.11396123795439	0	-0.0643732179910234	0	-0.21638955223159	-0.136616724319438	0	-0.112867334694978	-0.263657172488839	-0.175733618648684	0	-0.118584520028389	-0.195722474729789	-0.118643676621903
LARP1B	-0.102810803920663	-0.101780391126682	-0.116831091377686	0	0.134576784186434	0	-0.111664937433874	-0.289612156323498	-0.157236940869221	-0.22709766368169	-0.109588907177378	-0.152120209164188	-0.129806186245056	0.0858703450863836	-0.0974920047335461	-0.233569063852107
